index,Area Code,Area Name,Total Population,PM2.5 Concentration (µg/m3),Attributable Deaths at coefft (change for 10 µg/m3 PM2.5) 6%,Attributable Deaths at coefft (change for 10 µg/m3 PM2.5) 1%,Attributable Deaths at coefft (change for 10 µg/m3 PM2.5) 12%
0,C000R,Total,7673217,15.34,4267,756,7965
1,H00AA,City of London,9155,17.59,4,1,7
2,00ABFX,Abbey,11558,15.39,8,1,15
3,00ABFY,Alibon,9876,14.86,7,1,13
4,00ABFZ,Becontree,11716,14.94,8,1,15
5,00ABGA,Chadwell Heath,9470,14.8,7,1,12
6,00ABGB,Eastbrook,10478,14.66,7,1,13
7,00ABGC,Eastbury,10390,15.25,7,1,13
8,00ABGD,Gascoigne,10721,15.62,7,1,14
9,00ABGE,Goresbrook,11036,15.16,8,1,14
10,00ABGF,Heath,9852,14.84,7,1,13
11,00ABGG,Longbridge,9604,15.03,7,1,12
12,00ABGH,Mayesbrook,9658,14.91,7,1,12
13,00ABGJ,Parsloes,9170,14.94,6,1,12
14,00ABGK,River,10678,15.09,7,1,14
15,00ABGL,Thames,9493,15.31,7,1,12
16,00ABGM,Valence,8841,14.95,6,1,11
17,00ABGN,Village,10027,14.75,7,1,13
18,00ABGP,Whalebone,9789,14.99,7,1,13
19,00ACFX,Brunswick Park,15577,14.87,10,2,18
20,00ACFY,Burnt Oak,15672,14.89,10,2,18
21,00ACFZ,Childs Hill,18103,15.51,11,2,21
22,00ACGA,Colindale,15804,15.06,10,2,18
23,00ACGB,Coppetts,15036,15.31,9,2,17
24,00ACGC,East Barnet,15805,14.67,10,2,18
25,00ACGD,East Finchley,15019,15.34,9,2,17
26,00ACGE,Edgware,15253,14.87,9,2,18
27,00ACGF,Finchley Church End,14652,15.43,9,2,17
28,00ACGG,Garden Suburb,15064,15.29,9,2,17
29,00ACGH,Golders Green,16787,15.81,10,2,19
30,00ACGJ,Hale,16088,15.0,10,2,18
31,00ACGK,Hendon,15973,15.52,10,2,18
32,00ACGL,High Barnet,14762,14.62,9,2,17
33,00ACGM,Mill Hill,17036,14.95,10,2,20
34,00ACGN,Oakleigh,15224,14.84,9,2,17
35,00ACGP,Totteridge,14880,14.7,9,2,17
36,00ACGQ,Underhill,15996,14.64,10,2,18
37,00ACGR,West Finchley,14960,15.12,9,2,17
38,00ACGS,West Hendon,14977,15.66,9,2,17
39,00ACGT,Woodhouse,16084,15.17,10,2,18
40,00ADGA,Barnehurst,10177,14.8,7,1,14
41,00ADGB,Belvedere,10920,14.76,8,1,15
42,00ADGC,Blackfen and Lamorbey,10341,14.8,8,1,14
43,00ADGD,Blendon and Penhill,10319,15.04,8,1,14
44,00ADGE,Brampton,10249,14.76,7,1,14
45,00ADGF,Christchurch,10403,15.01,8,1,14
46,00ADGG,Colyers,10525,14.74,8,1,14
47,00ADGH,Crayford,10306,14.9,7,1,14
48,00ADGJ,Cray Meadows,10321,14.68,8,1,14
49,00ADGK,Danson Park,10303,14.99,7,1,14
50,00ADGL,East Wickham,10283,14.84,7,1,14
51,00ADGM,Erith,10596,14.86,8,1,14
52,00ADGN,Falconwood and Welling,10503,15.09,8,1,14
53,00ADGP,Lesnes Abbey,10882,14.81,8,1,15
54,00ADGQ,Longlands,9705,15.01,7,1,13
55,00ADGR,North End,10496,14.73,8,1,14
56,00ADGS,Northumberland Heath,10548,14.74,8,1,14
57,00ADGT,St. Mary's,9999,14.81,7,1,14
58,00ADGU,St. Michael's,10569,14.77,8,1,14
59,00ADGW,Sidcup,10360,14.81,8,1,14
60,00ADGX,Thamesmead East,11140,14.76,8,1,15
61,00AEGJ,Alperton,12643,15.29,6,1,11
62,00AEGK,Barnhill,13204,15.11,6,1,12
63,00AEGL,Brondesbury Park,12299,15.44,6,1,11
64,00AEGM,Dollis Hill,12677,15.75,6,1,11
65,00AEGN,Dudden Hill,14058,15.83,7,1,13
66,00AEGP,Fryent,12264,15.04,6,1,11
67,00AEGQ,Harlesden,13216,15.72,6,1,12
68,00AEGR,Kensal Green,11340,15.89,5,1,10
69,00AEGS,Kenton,12163,14.91,6,1,11
70,00AEGT,Kilburn,14744,15.71,7,1,13
71,00AEGU,Mapesbury,14242,15.44,7,1,13
72,00AEGW,Northwick Park,12518,14.99,6,1,11
73,00AEGX,Preston,14061,15.07,7,1,13
74,00AEGY,Queens Park,13157,15.61,6,1,12
75,00AEGZ,Queensbury,14272,14.93,7,1,13
76,00AEHA,Stonebridge,17229,15.78,8,1,16
77,00AEHB,Sudbury,12884,15.13,6,1,12
78,00AEHC,Tokyngton,12169,15.36,6,1,11
79,00AEHD,Welsh Harp,12726,15.59,6,1,11
80,00AEHE,Wembley Central,11712,15.18,6,1,11
81,00AEHF,Willesden Green,14285,15.51,7,1,13
82,00AFGD,Bickley,14362,14.77,10,2,19
83,00AFGE,Biggin Hill,10353,14.37,7,1,14
84,00AFGF,Bromley Common and Keston,14375,14.62,10,2,19
85,00AFGG,Bromley Town,15656,14.94,11,2,21
86,00AFGH,Chelsfield and Pratts Bottom,14903,14.42,11,2,20
87,00AFGJ,Chislehurst,15137,14.72,11,2,20
88,00AFGK,Clock House,16107,14.96,12,2,22
89,00AFGL,Copers Cope,15098,14.94,11,2,20
90,00AFGM,Cray Valley East,14960,14.51,11,2,20
91,00AFGN,Cray Valley West,16109,14.66,12,2,22
92,00AFGP,Crystal Palace,11517,15.07,8,1,16
93,00AFGQ,Darwin,4846,14.36,3,1,7
94,00AFGR,Farnborough and Crofton,14192,14.55,10,2,19
95,00AFGS,Hayes and Coney Hall,14888,14.61,11,2,20
96,00AFGT,Kelsey and Eden Park,15541,14.86,11,2,21
97,00AFGU,Mottingham and Chislehurst North,10277,14.83,7,1,14
98,00AFGW,Orpington,15295,14.54,11,2,21
99,00AFGX,Penge and Cator,16891,14.99,12,2,23
100,00AFGY,Petts Wood and Knoll,13593,14.56,10,2,18
101,00AFGZ,Plaistow and Sundridge,14622,14.8,11,2,20
102,00AFHA,Shortlands,9419,14.82,7,1,13
103,00AFHB,West Wickham,14323,14.75,10,2,19
104,00AGGD,Belsize,11991,15.86,6,1,12
105,00AGGE,Bloomsbury,9205,17.54,5,1,9
106,00AGGF,Camden Town with Primrose Hill,12286,16.21,6,1,12
107,00AGGG,Cantelowes,11220,16.53,6,1,11
108,00AGGH,Fortune Green,10895,15.7,6,1,10
109,00AGGJ,Frognal and Fitzjohns,11937,15.73,6,1,11
